year,bridgeId,bridgeName,depositUSD,withdrawUSD,totalUSD,netUSD
2023,23,Polygon zkEVM Bridge,213682079.1439539,116498897.37413903,330180976.51809293,97183181.76981486
2023,30,Mantle Bridge,273146531.88219076,5548886.348271726,278695418.2304625,267597645.53391907
2023,18,Rainbow Bridge,69883293.76431853,171142692.72879437,241025986.4931129,-101259398.96447584
2023,37,Manta Pacific Bridge,187203952.73383394,34425995.54346392,221629948.27729785,152777957.19037
2023,20,deBridge,109180259.92811318,34926540.26615478,144106800.19426796,74253719.66195838
2023,34,Satellite (Powered by Axelar),52315136.06779051,53140775.25258157,105455911.32037207,-825639.1847910626
2023,22,Allbridge Classic,14296965.54912993,16594969.340096407,30891934.889226336,-2298003.7909664763
2023,44,Interport Finance,14479149.70617856,14559139.331447298,29038289.037625857,-79989.62526873733
2023,35,CrossCurve,5051793.874097381,5188045.145341655,10239839.019439036,-136251.27124427393
2023,42,pNetwork,489760.1315698365,901119.4727678974,1390879.604337734,-411359.34119806084
2024,51,Circle CCTP,17528366912.18154,16978277379.571299,34506644291.75284,550089532.610244
2024,12,Stargate,14539095819.615137,15223994173.561548,29763089993.176685,-684898353.9464114
2024,19,Across,11897192644.5058,11825712214.196253,23722904858.702053,71480430.30954722
2024,58,Orbiter Finance,8492974379.697224,10334939969.764069,18827914349.461292,-1841965590.066846
2024,2,Arbitrum Bridge,7589834469.000057,9406009504.635777,16995843973.635834,-1816175035.6357198
2024,24,IBC,7221937923.542363,6419630810.775622,13641568734.317986,802307112.7667406
2024,11,Synapse,5331452679.340909,5474897540.581613,10806350219.922522,-143444861.24070406
2024,20,deBridge,5112839337.539984,5000710129.259422,10113549466.799406,112129208.2805613
2024,80,Hyperliquid,4377973891.463163,3684328581.811291,8062302473.274454,693645309.6518728
2024,77,Wormhole,3916006388.2835097,3916006563.2650433,7832012951.5485525,-174.98153363121673
2024,28,Meson,3642927396.123312,3651113089.437562,7294040485.560874,-8185693.314250261
2024,1,Polygon PoS Bridge,3438563142.254004,3435428585.396412,6873991727.650416,3134556.857591954
2024,26,ZKsync Era Bridge,3022188033.4207683,3084885736.1442685,6107073769.565037,-62697702.72350012
2024,4,Optimism Gateway,3159784010.515509,2101136759.5044055,5260920770.019915,1058647251.0111035
2024,10,Celer cBridge,2596531602.188044,2584522981.5674167,5181054583.755461,12008620.620627556
