month,bridgeId,bridgeName,totalUSD,netUSD,shares
2024-03,58,Orbiter Finance,3460312231.1271625,-36996663.98264846,13.83
2024-03,51,Circle CCTP,2207733391.4440336,3914667.8517823685,8.82
2024-03,19,Across,2139145873.3604846,41044658.6101616,8.55
2024-04,12,Stargate,3345869629.6706853,-172163088.29814625,16.82
2024-04,51,Circle CCTP,2354151843.1716704,65335950.89180713,11.83
2024-04,58,Orbiter Finance,2179296926.546818,-37912379.64056756,10.95
2024-04,19,Across,1721822540.474835,-7161979.436962016,8.65
2024-04,59,Connext,1284295933.3443735,-29614985.00975132,6.46
2024-05,51,Circle CCTP,2205497134.6434917,-8696179.398581177,13.63
2024-05,19,Across,2027992934.3886135,14575812.678302374,12.53
2024-05,58,Orbiter Finance,1331937793.0181248,-40435330.9156079,8.23
2024-05,2,Arbitrum Bridge,1170908439.5669606,-151585225.1081932,7.24
2024-05,20,deBridge,938255217.8928463,21474901.280277498,5.8
2024-06,19,Across,2128315471.4662018,3025384.550184861,13.93
2024-06,51,Circle CCTP,1832825737.9114022,39910794.027114704,11.99
2024-06,12,Stargate,1599100041.4056818,-16440513.020119535,10.46
2024-06,24,IBC,1065419668.2716978,115529521.40776622,6.97
2024-06,58,Orbiter Finance,962101901.3085209,-15949159.080916533,6.3
2024-07,51,Circle CCTP,2240034818.6686125,53583416.885486215,14.89
2024-07,12,Stargate,2239610786.4380426,-7797331.964238506,14.89
2024-07,19,Across,1603324759.5377767,-28640890.32390528,10.66
2024-07,24,IBC,1515336958.668038,170522195.24937576,10.07
2024-07,2,Arbitrum Bridge,852875767.4753093,134124843.12434149,5.67
2024-08,12,Stargate,2610613313.0867095,17475666.970432542,17.8
2024-08,51,Circle CCTP,2271100043.075208,86028502.79326862,15.48
2024-08,24,IBC,1714927782.9907064,227943793.09166485,11.69
2024-08,19,Across,1478791941.3380563,2681402.674039755,10.08
2024-08,2,Arbitrum Bridge,974445540.0629767,-279631338.1515285,6.64
2024-09,2,Arbitrum Bridge,2210237470.996143,-1080393119.7343597,15.02
2024-09,12,Stargate,1891033999.2348785,7473076.5685381945,12.85
2024-09,51,Circle CCTP,1865442113.0384278,27200140.486109827,12.68
2024-09,58,Orbiter Finance,1712454650.4926805,-67618685.29104686,11.64
2024-09,24,IBC,1570137574.6288092,92252089.72998516,10.67
2024-10,12,Stargate,2948749114.4260077,4129067.6671127453,16.07
2024-10,51,Circle CCTP,2876996934.8682528,198683544.02275613,15.67
2024-10,58,Orbiter Finance,2474099384.0061207,-115506459.63587259,13.48
2024-10,19,Across,1785346074.344263,-1322928.485893296,9.73
2024-10,24,IBC,1617478339.524396,51789835.66397309,8.81
2024-11,51,Circle CCTP,5580560355.323802,448125089.38125557,17.91
2024-11,58,Orbiter Finance,3053415885.047509,-168553373.62698928,9.8
2024-11,19,Across,2959816883.3817883,6287867.428773608,9.5
2024-11,12,Stargate,2840452639.619944,-5224833.561744474,9.12
2024-11,24,IBC,2604818473.124649,-4339501.167762725,8.36
2024-12,80,Hyperliquid,8062302473.274454,693645309.6518728,15.71
2024-12,51,Circle CCTP,7474046731.728734,-407067996.4488592,14.57
2024-12,77,Wormhole,5894571264.18946,17.0496729016304,11.49
2024-12,19,Across,4004152066.1330605,22968481.977742895,7.8
2024-12,12,Stargate,3327973899.3112803,17385994.20835812,6.49
2025-01,51,Circle CCTP,8949417001.16704,971010653.414322,18.62
2025-01,80,Hyperliquid,6422762968.345497,524370976.0570642,13.36
2025-01,77,Wormhole,5630879894.363347,244819.67882124707,11.72
2025-01,32,Squid (Powered by Axelar),3720021613.5903916,-400582572.07879925,7.74
2025-01,2,Arbitrum Bridge,3278448191.8735514,-2203323509.26768,6.82
2025-02,84,LayerZero,6257516171.444898,8982857.675869383,16.11
2025-02,51,Circle CCTP,5809024550.925109,-581290741.4195353,14.96
2025-02,80,Hyperliquid,4579971938.870952,93624461.8472853,11.79
2025-02,12,Stargate,4022712981.120891,798910495.5347489,10.36
2025-02,77,Wormhole,3049160442.449381,967.0664564780891,7.85
2025-03,84,LayerZero,10229900814.774487,21294995.16629303,27.23
2025-03,51,Circle CCTP,4733621842.98227,70238193.47843537,12.6
2025-03,80,Hyperliquid,4515311738.921623,-348775549.7115315,12.02
2025-03,12,Stargate,4107332525.864483,51024669.32216311,10.93
2025-03,77,Wormhole,2107935399.1835947,911220.4272902645,5.61
2025-04,84,LayerZero,11113888832.546774,-14272745.410493955,27.36
2025-04,51,Circle CCTP,6202870037.121944,-90274254.78522074,15.27
2025-04,12,Stargate,4909483961.017683,-650314934.9397125,12.09
2025-04,80,Hyperliquid,3948254966.934321,256848055.43529874,9.72
2025-04,77,Wormhole,2218875818.541591,15283427.963112118,5.46
2025-05,84,LayerZero,14620823050.238874,-2104199.657171577,28.28
2025-05,80,Hyperliquid,7638888340.75331,1252135264.3275623,14.78
2025-05,51,Circle CCTP,6933518749.293972,-73343535.1244543,13.41
2025-05,12,Stargate,4586725057.197774,-327093303.0767447,8.87
2025-05,19,Across,2587606396.6065454,13254555.133691467,5.0
2025-06,84,LayerZero,10524423897.082577,312113690.7649511,23.93
2025-06,51,Circle CCTP,5954009574.552626,-29263231.757291347,13.54
2025-06,80,Hyperliquid,5874632521.193248,222641528.4660089,13.36
2025-06,92,USDT0,3573459192.8742027,13752539.257474946,8.12
2025-06,12,Stargate,2693910275.412372,-52574825.10453245,6.12
2025-07,84,LayerZero,11631752059.109325,6369692.582656488,20.35
2025-07,80,Hyperliquid,9664522522.224176,1142917689.966138,16.91
2025-07,51,Circle CCTP,7816926911.584036,-273586459.2495386,13.68
2025-07,92,USDT0,4483143814.503117,58437780.16533023,7.84
2025-07,77,Wormhole,4208317994.4786234,-8220898.982652737,7.36
2025-08,84,LayerZero,18760832282.220436,1193240067.487161,31.62
2025-08,80,Hyperliquid,10887047895.999516,812196205.2329941,18.35
2025-08,51,Circle CCTP,6654223396.453011,-39274458.68352783,11.21
2025-08,92,USDT0,4610857833.376784,54435222.95108119,7.77
2025-08,77,Wormhole,2895206766.544874,13961967.644678276,4.88
