bridgeId,bridgeName,date,depositUSD,withdrawUSD,totalUSD,netUSD
84,LayerZero,2025-02-01,0.2982340121,6202.89320998,6203.1914439921,-6202.594975967901
84,LayerZero,2025-02-02,403.882852269,6815.99926132691,7219.88211359591,-6412.11640905791
84,LayerZero,2025-02-03,2069.5258385437,15758.34718008168,17827.87301862538,-13688.82134153798
84,LayerZero,2025-02-04,843.923075492,6983.1562699337,7827.0793454257,-6139.2331944417
84,LayerZero,2025-02-05,0.5034416741,12260.23923302246,12260.74267469656,-12259.73579134836
84,LayerZero,2025-02-06,0.0,48817.45333527993,48817.45333527993,-48817.45333527993
84,LayerZero,2025-02-07,0.5390719900000001,45685.28450911107,45685.823581101075,-45684.74543712107
84,LayerZero,2025-02-08,13.4739031853,66390.98009343208,66404.45399661738,-66377.50619024679
84,LayerZero,2025-02-09,2955434.9564966685,2991781.387567677,5947216.344064346,-36346.431071008556
84,LayerZero,2025-02-10,112067631.9040342,112105016.4032462,224172648.3072804,-37384.499211996794
84,LayerZero,2025-02-11,172366576.8312552,172373879.62718254,344740456.45843774,-7302.795927345753
84,LayerZero,2025-02-12,191506736.72552514,187030480.2600466,378537216.98557174,4476256.4654785395
84,LayerZero,2025-02-13,141650523.8472578,133051884.78927815,274702408.63653594,8598639.057979643
84,LayerZero,2025-02-14,145017415.60929373,145177873.82781717,290195289.4371109,-160458.21852344275
84,LayerZero,2025-02-15,101008509.56078246,102152382.62326229,203160892.18404475,-1143873.0624798238
84,LayerZero,2025-02-16,102430412.11594193,101911998.29139991,204342410.40734184,518413.8245420158
84,LayerZero,2025-02-17,161788387.32558736,163344176.9085949,325132564.23418224,-1555789.5830075443
84,LayerZero,2025-02-18,138235713.2805506,135202671.64481503,273438384.9253656,3033041.6357355714
84,LayerZero,2025-02-19,42754042.34084802,43370017.14122513,86124059.48207316,-615974.8003771082
84,LayerZero,2025-02-20,28583544.987128243,27879038.086520698,56462583.073648944,704506.9006075449
84,LayerZero,2025-02-21,382187714.35826826,381508834.4442149,763696548.8024831,678879.9140533805
84,LayerZero,2025-02-22,262798340.2921293,263101928.4063136,525900268.69844294,-303588.11418429017
84,LayerZero,2025-02-23,122037559.81661092,123966924.1330642,246004483.9496751,-1929364.316453278
84,LayerZero,2025-02-24,170249947.62380505,170394594.46296775,340644542.0867728,-144646.83916270733
84,LayerZero,2025-02-25,281641140.5394886,279701604.00186837,561342744.541357,1939536.5376202464
84,LayerZero,2025-02-26,197772958.89202428,198635214.74582213,396408173.6378464,-862255.853797853
84,LayerZero,2025-02-27,153137434.32197934,153966157.56519943,307103591.8871788,-828723.2432200909
84,LayerZero,2025-02-28,223056157.08495927,226191283.78101534,449247440.8659746,-3135126.696056068
84,LayerZero,2025-03-01,146968010.60039508,145101263.35974374,292069273.9601388,1866747.2406513393
84,LayerZero,2025-03-02,196328527.19658175,197065025.79946044,393393552.9960422,-736498.6028786898
84,LayerZero,2025-03-03,186302068.31036532,189692064.31820393,375994132.62856925,-3389996.007838607
84,LayerZero,2025-03-04,165892406.1581668,165205659.21441817,331098065.37258494,686746.9437486231
84,LayerZero,2025-03-05,171403976.40065628,171600855.83706334,343004832.23771966,-196879.43640705943
84,LayerZero,2025-03-06,178951811.832979,154778135.7340394,333729947.5670184,24173676.098939598
84,LayerZero,2025-03-07,145990665.19921863,125433034.34177676,271423699.54099536,20557630.857441872
84,LayerZero,2025-03-08,103056100.5263146,102314613.8156834,205370714.34199798,741486.7106312066
84,LayerZero,2025-03-09,100364506.97050855,99798689.1606329,200163196.13114142,565817.8098756522
84,LayerZero,2025-03-10,180036273.53288713,179327692.9061596,359363966.43904674,708580.6267275214
84,LayerZero,2025-03-11,157782547.07093936,155860430.3715983,313642977.44253767,1922116.6993410587
84,LayerZero,2025-03-12,13112088.315008083,14100389.990473365,27212478.30548145,-988301.675465282
84,LayerZero,2025-03-13,143094399.87397438,141251102.84032968,284345502.7143041,1843297.033644706
84,LayerZero,2025-03-14,149645874.9140081,156183416.97115448,305829291.8851626,-6537542.05714637
84,LayerZero,2025-03-15,84490927.52361478,84695528.52848332,169186456.0520981,-204601.0048685372
84,LayerZero,2025-03-16,73396802.80129181,73285123.1119557,146681925.91324753,111679.68933610618
84,LayerZero,2025-03-17,145155350.72716296,144013572.9010448,289168923.62820774,1141777.8261181712
84,LayerZero,2025-03-18,138423642.56633124,144438622.96715164,282862265.5334829,-6014980.400820404
84,LayerZero,2025-03-19,191861061.4202695,192661261.01940998,384522322.4396795,-800199.5991404951
84,LayerZero,2025-03-20,182873279.00766382,183074223.78988573,365947502.79754955,-200944.78222191334
84,LayerZero,2025-03-21,127223251.01901878,128057179.82045628,255280430.83947507,-833928.8014374971
84,LayerZero,2025-03-22,49321334.17054782,48687182.48606365,98008516.65661147,634151.6844841689
84,LayerZero,2025-03-23,70080971.80407476,69572815.09909236,139653786.90316713,508156.70498239994
84,LayerZero,2025-03-24,320232677.18741506,326819038.42871225,647051715.6161273,-6586361.241297185
84,LayerZero,2025-03-25,328675900.0676654,331110771.6028769,659786671.6705422,-2434871.5352115035
84,LayerZero,2025-03-26,175715736.26252308,177185380.84506765,352901117.10759073,-1469644.5825445652
84,LayerZero,2025-03-27,230144105.08734736,228838378.96915573,458982484.05650306,1305726.1181916296
84,LayerZero,2025-03-28,288076097.5244057,286634161.3009849,574710258.8253906,1441936.2234207988
84,LayerZero,2025-03-29,190218199.37600246,195509701.4646604,385727900.84066284,-5291502.088657945
84,LayerZero,2025-03-30,220797723.71253347,221004230.03959927,441801953.7521328,-206506.32706579566
