month,bridgeId,bridgeName,depositUSD,withdrawUSD,totalUSD,netUSD
2024-02,2,Arbitrum Bridge,1120224765.9035616,396975746.52405083,1517200512.4276123,723249019.3795108
2024-03,2,Arbitrum Bridge,742014418.1804907,331803877.9591017,1073818296.1395924,410210540.221389
2024-04,2,Arbitrum Bridge,467982071.8654183,410502043.63643086,878484115.5018492,57480028.228987455
2024-05,2,Arbitrum Bridge,509661607.2293837,661246832.3375769,1170908439.5669606,-151585225.1081932
2024-06,2,Arbitrum Bridge,431256636.35577047,430903855.3719407,862160491.7277112,352780.98382977396
2024-07,2,Arbitrum Bridge,493500305.2998254,359375462.1754839,852875767.4753093,134124843.12434149
2024-08,2,Arbitrum Bridge,347407100.9557241,627038439.1072526,974445540.0629767,-279631338.1515285
2024-09,2,Arbitrum Bridge,564922175.6308914,1645315295.365251,2210237470.996143,-1080393119.7343597
2024-10,2,Arbitrum Bridge,348462905.90631104,858892289.0518881,1207355194.9581993,-510429383.1455771
2024-11,2,Arbitrum Bridge,787821141.7365834,1307891375.7323968,2095712517.4689803,-520070233.99581355
2024-12,2,Arbitrum Bridge,840466994.4841338,1909156615.537556,2749623610.02169,-1068689621.0534221
2025-01,2,Arbitrum Bridge,537562341.3029356,2740885850.570616,3278448191.8735514,-2203323509.26768
2025-02,2,Arbitrum Bridge,294257705.5209667,1834490893.5531268,2128748599.0740933,-1540233188.03216
2025-03,2,Arbitrum Bridge,121419511.44203378,109139480.45607306,230558991.89810684,12280030.985960728
2025-04,2,Arbitrum Bridge,74769792.0574974,441323406.49267817,516093198.5501756,-366553614.4351808
2025-05,2,Arbitrum Bridge,145802835.68018955,649397063.9117026,795199899.5918921,-503594228.2315131
2025-06,2,Arbitrum Bridge,72861214.5732718,473688072.49834967,546549287.0716214,-400826857.9250779
2025-07,2,Arbitrum Bridge,170724464.469985,1199250481.245257,1369974945.715242,-1028526016.7752719
2025-08,2,Arbitrum Bridge,139542029.17253792,608087666.5902588,747629695.7627968,-468545637.417721
2025-09,2,Arbitrum Bridge,118934180.71725233,554551797.2136893,673485977.9309417,-435617616.496437
2022-10,3,Avalanche Bridge,36844659.360337354,114727816.83198412,151572476.19232148,-77883157.47164677
2022-11,3,Avalanche Bridge,110418940.15033607,253146314.93901613,363565255.0893522,-142727374.78868008
2022-12,3,Avalanche Bridge,60359292.93167561,94992968.00616188,155352260.9378375,-34633675.07448627
2023-01,3,Avalanche Bridge,69437982.68935755,104066203.61142066,173504186.3007782,-34628220.9220631
2023-02,3,Avalanche Bridge,142251326.58169886,156202765.09825182,298454091.6799507,-13951438.516552966
2023-03,3,Avalanche Bridge,304020443.0290853,361301186.2422783,665321629.2713635,-57280743.21319297
2023-04,3,Avalanche Bridge,69425311.15675665,87574762.24218228,157000073.39893892,-18149451.085425626
2023-05,3,Avalanche Bridge,17701988.42158115,59246917.40623906,76948905.82782021,-41544928.98465791
2023-06,3,Avalanche Bridge,59642591.8194117,72060754.22110757,131703346.04051928,-12418162.401695877
2023-07,3,Avalanche Bridge,50910452.64717448,64041096.18370962,114951548.8308841,-13130643.53653514
2023-08,3,Avalanche Bridge,49668399.77359691,72665599.31229688,122333999.0858938,-22997199.53869997
2023-09,3,Avalanche Bridge,9276877.25454955,24649542.17334862,33926419.42789817,-15372664.91879907
2023-10,3,Avalanche Bridge,22947566.710196644,35406291.37176162,58353858.08195827,-12458724.66156498
2023-11,3,Avalanche Bridge,33658287.85500274,84042694.76056755,117700982.61557029,-50384406.905564815
2023-12,3,Avalanche Bridge,49882459.7701772,76538453.9377028,126420913.70788,-26655994.1675256
2024-01,3,Avalanche Bridge,69961562.78917368,99502690.82949243,169464253.6186661,-29541128.04031876
2024-02,3,Avalanche Bridge,28756453.567080602,41887972.279734984,70644425.84681559,-13131518.71265438
2024-03,3,Avalanche Bridge,39388648.88619563,64612961.594479,104001610.48067464,-25224312.70828337
2024-04,3,Avalanche Bridge,75141748.7144716,86341484.46247676,161483233.17694837,-11199735.74800517
2024-05,3,Avalanche Bridge,13653363.772703469,33472278.911408164,47125642.68411163,-19818915.138704695
2024-06,3,Avalanche Bridge,20234196.287718974,22184270.753425136,42418467.04114411,-1950074.465706162
2024-07,3,Avalanche Bridge,26707542.718032725,26437917.318815142,53145460.03684787,269625.39921758394
2024-08,3,Avalanche Bridge,21538194.337573733,28594323.94212754,50132518.27970128,-7056129.604553807
