month;bridgeId;bridgeName;totalUSD;SA_Tier
2023-07;22;Allbridge Classic;1396054,403;SA22
2023-08;12;Stargate;4313111809;SA22
2023-08;2;Arbitrum Bridge;1144043222;SA33
2023-08;26;ZKsync Era Bridge;1044237762;SA32
2023-08;1;Polygon PoS Bridge;750563395,3;SA22
2023-08;19;Across;514486225,5;SA33
2023-08;4;Optimism Gateway;391747501,4;SA33
2023-08;11;Synapse;251568667,9;SA22
2023-08;13;Hop;186078766,5;SA33
2023-08;28;Meson;159328082,9;SA11
2023-08;3;Avalanche Bridge;122333999,1;SA12
2023-08;27;Symbiosis;80999381,69;SA11
2023-08;10;Celer cBridge;79112314,22;SA22
2023-08;16;Gnosis Bridge;65514669,55;SA22
2023-08;23;Polygon zkEVM Bridge;31947076,61;SA32
2023-08;30;Mantle Bridge;25564570,77;SA33
2023-08;18;Rainbow Bridge;21568573,84;SA31
2023-08;22;Allbridge Classic;1122257,939;SA22
2023-09;12;Stargate;2494906940;SA22
2023-09;26;ZKsync Era Bridge;1289996357;SA32
2023-09;2;Arbitrum Bridge;930757022,7;SA33
2023-09;19;Across;611569145,1;SA33
2023-09;1;Polygon PoS Bridge;356702550;SA22
2023-09;4;Optimism Gateway;300240482,6;SA33
2023-09;32;Squid (Powered by Axelar);195185360,1;SA21
2023-09;28;Meson;188868752,5;SA11
2023-09;13;Hop;108727537,6;SA33
2023-09;11;Synapse;94639949,05;SA22
2023-09;16;Gnosis Bridge;82590776,78;SA22
2023-09;27;Symbiosis;75462842,4;SA11
2023-09;34;Satellite (Powered by Axelar);38162492,02;SA21
2023-09;3;Avalanche Bridge;33926419,43;SA12
2023-09;23;Polygon zkEVM Bridge;31048204,77;SA32
2023-09;39;rhino.fi;15099983,49;SA11
2023-09;10;Celer cBridge;13455805,95;SA22
2023-09;18;Rainbow Bridge;11460828;SA31
2023-09;30;Mantle Bridge;4098653,212;SA33
2023-09;37;Manta Pacific Bridge;2244230,282;SA33
2023-09;22;Allbridge Classic;749764,9925;SA22
2023-09;35;CrossCurve;13058,04332;SA22
2023-10;12;Stargate;1645527796;SA22
2023-10;26;ZKsync Era Bridge;1106981756;SA32
2023-10;2;Arbitrum Bridge;977179493,2;SA33
2023-10;19;Across;721289640,2;SA33
2023-10;1;Polygon PoS Bridge;587257008,5;SA22
2023-10;16;Gnosis Bridge;252299799,3;SA22
2023-10;28;Meson;250229756,1;SA11
2023-10;4;Optimism Gateway;246541326,8;SA33
2023-10;32;Squid (Powered by Axelar);147854926,2;SA21
2023-10;11;Synapse;125073952,4;SA22
2023-10;13;Hop;104606451,5;SA33
2023-10;39;rhino.fi;65858797,4;SA11
2023-10;34;Satellite (Powered by Axelar);62428328,64;SA21
