year,bridgeId,bridgeName,depositUSD,withdrawUSD,totalUSD,netUSD
2024,45,Shimmer Bridge,74353880.65755087,76685710.74189852,151039591.39944938,-2331830.0843476523
2024,61,XSwap,75296315.92322437,62571253.129339,137867569.05256337,12725062.79388537
2024,78,Threshold Network,48400816.44845892,86789718.22596578,135190534.6744247,-38388901.77750686
2024,48,Rootstock Powpeg Bridge,45488574.86713387,54621542.17704036,100110117.04417424,-9132967.309906492
2024,18,Rainbow Bridge,37936126.72005172,56121867.4974439,94057994.21749562,-18185740.777392182
2024,34,Satellite (Powered by Axelar),30951217.90907588,50945954.4648992,81897172.37397508,-19994736.555823322
2024,79,Zircuit Bridge,50237751.06106946,13426132.164346661,63663883.225416124,36811618.89672279
2024,42,pNetwork,50692394.25242111,10929872.792419333,61622267.04484044,39762521.46000178
2024,55,Fuse Bridge,29165032.041592423,27195520.26182777,56360552.30342019,1969511.7797646513
2024,68,MiniBridge,1217525.6989954957,40195234.42123845,41412760.120233946,-38977708.72224296
2024,65,MeMeBridge,12146631.04420768,12481394.251426928,24628025.29563461,-334763.20721924934
2024,22,Allbridge Classic,9798578.34008917,13969752.427699592,23768330.76778876,-4171174.087610423
2024,70,FastBTC,7705570.86346565,14930663.85918775,22636234.7226534,-7225092.9957221
2024,53,Rootstock Token Bridge,7883249.584755487,5375736.313037514,13258985.897793,2507513.2717179726
2024,66,oooo,4521334.12517115,4527210.446208412,9048544.571379563,-5876.321037262242
2024,69,CometBridge,173283.568994243,1565755.419769272,1739038.9887635151,-1392471.850775029
2024,72,Mint,815972.1352545383,702488.0515127743,1518460.1867673125,113484.08374176401
2024,71,Crowdswap,234944.89377190173,442481.7117098881,677426.6054817899,-207536.8179379864
2024,67,Bunnyfi,296461.6575649815,300371.8393558016,596833.4969207831,-3910.181790820087
2024,64,Helixbox,110330.14589269078,106125.97916870109,216456.12506139188,4204.166723989702
2024,56,MES Protocol,14403.781030795999,188622.66799711768,203026.44902791368,-174218.88696632165
2024,81,PowPeg Fast Mode (Flyover),9545.5,925.72388013,10471.22388013,8619.77611987
2025,84,LayerZero,42332380733.01332,40806756374.40405,83139137107.41737,1525624358.6092653
2025,80,Hyperliquid,28743675762.43173,24787717130.81091,53531392893.24264,3955958631.6208196
2025,51,Circle CCTP,26503914114.9766,26549697949.10341,53053612064.08001,-45783834.126810685
2025,12,Stargate,13371918539.522228,13588402390.198242,26960320929.72047,-216483850.67601427
2025,77,Wormhole,12077010033.739143,12060029430.065325,24137039463.80447,16980603.673818395
2025,19,Across,9111521972.745605,9113021557.631739,18224543530.377342,-1499584.8861340005
2025,28,Meson,7308490221.762612,7308387100.959459,14616877322.722073,103120.80315326666
2025,20,deBridge,6942130491.044881,6818598782.385472,13760729273.430353,123531708.65940835
2025,24,IBC,6846189620.341985,6485272106.071126,13331461726.41311,360917514.2708591
2025,92,USDT0,6397043191.563995,6270417649.190109,12667460840.754105,126625542.37388636
2025,2,Arbitrum Bridge,1556939894.2194178,8056262915.318062,9613202809.53748,-6499323021.098644
2025,96,Chainlink CCIP,3113588579.4747953,3287422511.13332,6401011090.608115,-173833931.65852442
2025,1,Polygon PoS Bridge,3468462495.358834,2814839190.1093493,6283301685.468183,653623305.2494844
2025,76,Hyperlane,2281993929.879264,2278271261.7114625,4560265191.590726,3722668.1678015552
2025,4,Optimism Gateway,1454746576.9338753,2748747310.2608104,4203493887.194686,-1294000733.326935
2025,32,Squid (Powered by Axelar),1838183762.142121,2272377069.183116,4110560831.3252373,-434193307.04099494
2025,58,Orbiter Finance,431101364.34183544,3396393584.8853374,3827494949.227173,-2965292220.543502
2025,16,Gnosis Bridge,1236168658.9692464,1311246196.3758032,2547414855.3450494,-75077537.4065569
2025,91,Everclear,889231691.0700341,918367997.1422553,1807599688.2122896,-29136306.07222119
2025,87,Lighter,802841119.5129966,706565896.6886557,1509407016.2016523,96275222.82434079
2025,78,Threshold Network,776216602.3600651,622129557.2989908,1398346159.659056,154087045.0610742
2025,27,Symbiosis,698871580.1564329,695531836.0379424,1394403416.1943753,3339744.118490433
2025,29,Base Bridge,917327112.8727051,453158279.42033386,1370485392.2930388,464168833.4523712
2025,35,CrossCurve,685662805.7144939,677105637.3017693,1362768443.016263,8557168.412724655
2025,17,Axelar,726235868.7715514,593765011.7977797,1320000880.5693312,132470856.97377168
2025,10,Celer cBridge,635765941.5539459,638421734.3089093,1274187675.8628552,-2655792.7549633705
2025,30,Mantle Bridge,653290494.5870128,617361314.5663313,1270651809.1533442,35929180.02068153
2025,15,Core Bitcoin Bridge,650403551.5965701,599612530.5870746,1250016082.1836448,50791021.00949552
2025,39,rhino.fi,578618652.5578462,538793069.2434845,1117411721.8013306,39825583.31436175
2025,11,Synapse,461281344.28032124,467138772.1036692,928420116.3839904,-5857427.823347967
2025,60,Allbridge Core,392095507.5871964,391385209.09970325,783480716.6868997,710298.4874931525
2025,49,Garden,379137399.5781359,379449462.2231681,758586861.801304,-312062.6450321516
2025,3,Avalanche Bridge,370522377.32913953,382640674.3778824,753163051.707022,-12118297.048742887
2025,75,Layerswap,298068393.62608355,328708333.36905044,626776726.995134,-30639939.74296691
2025,73,Sui Bridge,38656134.59518764,440708071.59970915,479364206.19489676,-402051937.0045215
2025,23,Polygon zkEVM Bridge,351758722.2750136,0.0,351758722.2750136,351758722.2750136
2025,88,Movement,165914551.2454128,140655345.81412214,306569897.0595349,25259205.431290675
2025,41,Wan Bridge,130755406.56305756,128958505.51704049,259713912.08009803,1796901.0460170663
2025,54,Nitro (by Router Protocol),159384453.85691258,68898793.60727067,228283247.46418327,90485660.24964193
2025,44,Interport Finance,216176665.39508393,1695285.9142592668,217871951.3093432,214481379.48082468
2025,46,yBridge by xSync Network,0.0,184109920.0239611,184109920.0239611,-184109920.0239611
2025,74,RetroBridge,85986016.5369911,86197068.47523654,172183085.01222765,-211051.93824541627
2025,26,ZKsync Era Bridge,154863200.74067134,1333692.1942463429,156196892.9349177,153529508.54642498
2025,79,Zircuit Bridge,23939224.82748549,115716726.32992667,139655951.15741214,-91777501.50244117
2025,95,Relay,82146946.0,53098590.0,135245536.0,29048356.0
2025,13,Hop,68309857.56136191,66440055.06246626,134749912.62382817,1869802.4988956547
2025,82,UniversalX,58900542.8052577,52858006.83606489,111758549.64132258,6042535.969192809
2025,37,Manta Pacific Bridge,6691745.848048939,101863352.6076184,108555098.45566735,-95171606.75956947
2025,22,Allbridge Classic,31475930.051675614,13979111.255032033,45455041.30670764,17496818.79664358
2025,50,Mode Network,8878395.844972331,26831459.6220192,35709855.46699154,-17953063.77704687
2025,47,Butter Network,17309107.61868853,17122477.14798247,34431584.766671,186630.47070605867
2025,65,MeMeBridge,16530727.780463647,16760928.630265545,33291656.410729192,-230200.8498018979
2025,72,Mint,16969536.25884472,12896451.014526658,29865987.273371372,4073085.2443180606
2025,70,FastBTC,14997495.53055333,12445881.46969087,27443377.0002442,2551614.06086246
2025,83,Eclipse Canonical Bridge,26678389.548707403,0.0,26678389.548707403,26678389.548707403
2025,34,Satellite (Powered by Axelar),5624978.936431094,20991872.35703508,26616851.293466177,-15366893.420603989
2025,9999,zkBridge,8082052.826839922,17446165.601858616,25528218.428698536,-9364112.775018694
2025,81,PowPeg Fast Mode (Flyover),6887755.88668846,13107074.30809408,19994830.19478254,-6219318.421405621
2025,48,Rootstock Powpeg Bridge,6436947.53790023,12658250.93173145,19095198.46963168,-6221303.39383122
2025,86,Fuel,5009766.255030199,12367570.683739137,17377336.938769337,-7357804.428708938
2025,68,MiniBridge,421597.37284138415,8385915.447559752,8807512.820401136,-7964318.074718367
2025,18,Rainbow Bridge,1892172.793159445,5959656.811171179,7851829.6043306235,-4067484.0180117334
2025,53,Rootstock Token Bridge,1773946.4831522836,5262083.7509765485,7036030.234128833,-3488137.267824265
2025,61,XSwap,1986642.375591569,3219287.0854347036,5205929.461026273,-1232644.7098431343
2025,59,Connext,2077274.553713864,2747809.7784351953,4825084.3321490595,-670535.2247213314
2025,93,Pheasant Network,2261518.0464533065,1930931.4872486002,4192449.533701907,330586.55920470605
2025,55,Fuse Bridge,1416637.9632519006,2511055.0697953054,3927693.033047206,-1094417.1065434045
2025,69,CometBridge,409328.1426324606,1310072.8037340173,1719400.9463664778,-900744.6611015566
2025,89,Asset Chain Bridge,674271.2968855925,193437.90486030662,867709.2017458992,480833.392025286
2025,71,Crowdswap,192041.51494700008,238839.45288435422,430880.9678313543,-46797.93793735413
2025,85,TRAIN Protocol,8987.168165378082,401150.7790001209,410137.9471654989,-392163.6108347428
2025,45,Shimmer Bridge,152696.08974363585,168163.1218305236,320859.21157415945,-15467.032086887753
2025,64,Helixbox,86212.53961800133,104445.70539953343,190658.24501753476,-18233.165781532094
2025,67,Bunnyfi,1236.0223352587122,36928.088539154865,38164.110874413585,-35692.06620389616
2025,90,InterSoon,2222.5,2222.5,4445.0,0.0
2025,56,MES Protocol,0.02792729268,0.0,0.02792729268,0.02792729268
2025,42,pNetwork,0.0,0.0,0.0,0.0
